epoch,loss,channel_size,p_mutate,mean_test_loss,mean_ground_truth_f1,ground_truth_acc,mean_student_error,mean_teacher_error,mean_protocol_diversity,mean_protocol_entropy,$p_{m}$,Meta Experiment Index,Experiment Index
64,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
65,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
66,1.0000001192092896,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,0
67,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
68,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
69,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
70,1.0000001192092896,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,0
1,3.8522162437438965,5,0.0,4.753052234649658,0.32625,0.32625,1.1022615432739258,0.6507906317710876,0.33333292603492737,1.6003745794296265,0.0,0,1
2,3.872586250305176,5,0.0,,,,,,,,0.0,0,1
3,3.743285894393921,5,0.0,,,,,,,,0.0,0,1
4,3.809584617614746,5,0.0,,,,,,,,0.0,0,1
5,3.7079339027404785,5,0.0,,,,,,,,0.0,0,1
6,3.761244297027588,5,0.0,4.041877746582031,0.3325,0.3325,1.0982251167297363,0.9436544179916382,0.5,0.1600022315979004,0.0,0,1
7,3.637007236480713,5,0.0,,,,,,,,0.0,0,1
8,3.5015063285827637,5,0.0,,,,,,,,0.0,0,1
9,2.457317352294922,5,0.0,,,,,,,,0.0,0,1
10,1.883563756942749,5,0.0,,,,,,,,0.0,0,1
11,1.1371519565582275,5,0.0,1.2761149406433105,0.8975,0.8975,0.021591896191239357,0.25452274084091187,1.0,7.222239013367687e-35,0.0,0,1
12,1.0152778625488281,5,0.0,,,,,,,,0.0,0,1
13,1.0125799179077148,5,0.0,,,,,,,,0.0,0,1
14,1.0527865886688232,5,0.0,,,,,,,,0.0,0,1
15,1.1637325286865234,5,0.0,,,,,,,,0.0,0,1
