Permuted Proportion,Zero-Shot Coordination Score,Teacher Responsiveness,Student Responsiveness,Protocol Diversity,mean_test_loss,mean_ground_truth_f1,ground_truth_acc,mean_student_error,mean_teacher_error,mean_protocol_diversity,mean_protocol_entropy
5,1.0,0.7915288722557032,0.5108969320835394,1.0,1.1920928955078125e-07,1.0,1.0,0.6715874075889587,0.23378892242908478,1.0,7.222241883226942e-35
5,1.0,0.7472848656828788,0.18656633312074666,1.0,1.1920928955078125e-07,1.0,1.0,1.6789684295654297,0.29130882024765015,1.0,7.222241883226942e-35
5,0.9625000000000001,0.8340315036277519,0.7899278534724983,1.0,0.3033515214920044,0.9625000000000001,0.9625,0.2358136624097824,0.18148410320281982,1.0,7.222241883226942e-35
5,1.0,0.997345969646387,0.9999998807907176,1.0,1.1920928955078125e-07,1.0,1.0,1.1920928955078125e-07,0.002657558536157012,1.0,7.222241883226942e-35
5,0.88125,0.7907342143311321,0.28037633110454957,1.0,1.914023995399475,0.88125,0.88125,1.2716225385665894,0.23479337990283966,1.0,7.222241883226942e-35
5,1.0,0.9958240199240742,0.9999998748302595,1.0,1.2516974834397843e-07,1.0,1.0,1.2516974834397843e-07,0.0041847238317132,1.0,7.222241883226942e-35
3,0.71875,0.9998589872890933,0.04772833037282262,1.0,3.0422301292419434,0.71875,0.71875,3.0422301292419434,0.00014102265413384885,1.0,7.222241883226942e-35
3,0.90625,0.947709706070544,0.9170043026104622,1.0,0.08664311468601227,0.90625,0.90625,0.08664311468601227,0.05370704084634781,1.0,7.222241883226942e-35
3,0.9625000000000001,0.9998446634150986,0.9352144448918118,1.0,0.06697942316532135,0.9625000000000001,0.9625,0.06697942316532135,0.0001553486508782953,1.0,7.222241883226942e-35
3,1.0,0.9998645469527866,0.9999998807907176,1.0,1.1920928955078125e-07,1.0,1.0,1.1920928955078125e-07,0.0001354622218059376,1.0,7.222241883226942e-35
3,1.0,0.9516702157877133,0.9999983072095351,1.0,1.6927918977671652e-06,1.0,1.0,1.6927918977671652e-06,0.04953671619296074,1.0,7.222241883226942e-35
3,1.0,0.9998047287857701,0.9999998807907176,1.0,1.1920928955078125e-07,1.0,1.0,1.1920928955078125e-07,0.00019529028213582933,1.0,7.222241883226942e-35
4,0.9375,0.8593387671107102,0.5108969625353704,1.0,1.0073809623718262,0.9375,0.9375,0.671587347984314,0.15159206092357635,1.0,7.222241883226942e-35
4,0.90625,0.7796379441876239,0.36517404596507386,1.0,1.5110714435577393,0.90625,0.90625,1.0073812007904053,0.24892564117908478,1.0,7.222241883226942e-35
4,0.89375,0.8010377126535436,0.342191636758718,1.0,1.5046049356460571,0.89375,0.89375,1.0723843574523926,0.22184725105762482,1.0,7.222241883226942e-35
4,1.0,0.9990402106822149,0.9999998807907176,1.0,1.1920928955078125e-07,1.0,1.0,1.1920928955078125e-07,0.0009602502104826272,1.0,7.222241883226942e-35
4,1.0,0.7494945413180116,0.22820918995355274,1.0,4.0531216427552863e-07,1.0,1.0,1.4774925708770752,0.2883562445640564,1.0,7.222241883226942e-35
4,1.0,0.9991544483871289,0.9999998807907176,1.0,1.1920928955078125e-07,1.0,1.0,1.1920928955078125e-07,0.0008459092932753265,1.0,7.222241883226942e-35
2,1.0,0.20199704591951284,0.31926417369388915,1.0,3.802627179538831e-05,1.0,1.0,1.141736388206482,1.5995022058486938,1.0,7.222241883226942e-35
2,0.60625,0.9998478838990735,0.02375762581288459,1.0,3.739851713180542,0.60625,0.60625,3.739851713180542,0.00015212767175398767,1.0,7.222241883226942e-35
2,0.45,0.15080761373960877,0.0017480279609316423,1.0,5.242697715759277,0.45,0.45,6.34926700592041,1.8917503356933594,1.0,7.222241883226942e-35
2,0.06875,0.9999851071833609,3.849152614211005e-05,1.0,10.165072441101074,0.06875,0.06875,10.165072441101074,1.4892927538312506e-05,1.0,7.222241883226942e-35
2,0.7375,0.9998360024796076,0.019904037358943142,1.0,3.916832685470581,0.7375,0.7375,3.916832685470581,0.00016401096945628524,1.0,7.222241883226942e-35
2,0.375,0.9999855682322069,0.0007495541107190332,1.0,7.1960320472717285,0.375,0.375,7.1960320472717285,1.4431871932174545e-05,1.0,7.222241883226942e-35
