Student Responsiveness,Teacher Responsiveness,Meta Experiment Index,Experiment Index,channel_size,p_mutate,Mutation Probability
0.005140045732636534,6.101158507246856e-05,0,0,5,0.0,0.0
0.020244028261030375,3.616144261207257e-05,0,1,5,0.0,0.0
0.004325849656046438,5.282908041896926e-05,0,2,5,0.0,0.0
0.5415096888916485,0.2613226543522104,1,0,5,0.1,0.1
0.6752447583023076,0.42827695222370105,1,1,5,0.1,0.1
0.7149126849477094,0.4124263629408569,1,2,5,0.1,0.1
0.966087447979901,0.7211091288015826,2,0,5,0.2,0.2
0.8837831621197467,0.7558540415736342,2,1,5,0.2,0.2
0.8835040676933256,0.6408693345037672,2,2,5,0.2,0.2
0.9559237697677158,0.9385650900312207,3,0,5,0.3,0.3
0.9091185836006116,0.8576848091814661,3,1,5,0.3,0.3
0.9732886517776771,0.8374871873440698,3,2,5,0.3,0.3
0.9817069157275282,0.9270808584208923,4,0,5,0.4,0.4
0.9905392474745001,0.8184768462069951,4,1,5,0.4,0.4
0.9566461112419612,0.7183016225895577,4,2,5,0.4,0.4
0.9990954226257414,0.9676604453356668,5,0,5,0.5,0.5
0.9961053963559692,0.9791010598609236,5,1,5,0.5,0.5
0.9997743650973364,0.9984748224936035,5,2,5,0.5,0.5
0.9999961870860193,0.9999990890723495,6,0,5,0.6,0.6
0.999983510240315,0.9996089923155872,6,1,5,0.6,0.6
0.9977464806484707,0.9641537340160812,6,2,5,0.6,0.6
0.9999073918108017,0.9999561806868176,7,0,5,0.7,0.7
0.9998976080933879,0.999710023719526,7,1,5,0.7,0.7
0.9995071649937629,0.9913655414338413,7,2,5,0.7,0.7
0.999897053118498,0.9999774486110172,8,0,5,0.8,0.8
0.9999728838977112,0.9999929325367338,8,1,5,0.8,0.8
0.9988169209459447,0.9741462351225579,8,2,5,0.8,0.8
0.9999989524421639,0.9999997840820021,9,0,5,0.9,0.9
0.9999916135208571,0.9999994364330743,9,1,5,0.9,0.9
0.9998123829226804,0.9997814086385568,9,2,5,0.9,0.9
0.9999998807907035,0.9999998807907035,10,0,5,1.0,1.0
0.9999998807907035,0.9999998807907035,10,1,5,1.0,1.0
0.9999998807907035,0.9999998807907035,10,2,5,1.0,1.0
