epoch,loss,channel_size,p_mutate,message_permutation,permutation_subset_size,channel_temp,mean_test_loss,mean_ground_truth_f1,ground_truth_acc,mean_student_error,mean_teacher_error,mean_protocol_diversity,mean_protocol_entropy,Subset Size,Meta Experiment Index,Experiment Index
85,0.0021271067671477795,5,0,True,2.0,1.4125375446227544,1.2852298021316528,0.82875,0.82875,1.610188603401184,2.0248966217041016,1.0,7.222239013367687e-35,2,0,0
86,0.0069218166172504425,5,0,True,2.0,1.3803842646028852,,,,,,,,2,0,0
87,0.001085161231458187,5,0,True,2.0,1.3489628825916542,,,,,,,,2,0,0
88,0.0037040594033896923,5,0,True,2.0,1.318256738556407,,,,,,,,2,0,0
89,0.002010901691392064,5,0,True,2.0,1.2882495516931343,,,,,,,,2,0,0
90,0.00749046029523015,5,0,True,2.0,1.2589254117941673,1.357568383216858,0.81,0.81,1.9790565967559814,2.9456708431243896,0.846875011920929,0.049000825732946396,2,0,0
91,0.006894363090395927,5,0,True,2.0,1.2302687708123818,,,,,,,,2,0,0
92,0.0016176708741113544,5,0,True,2.0,1.2022644346174132,,,,,,,,2,0,0
93,0.0015437279362231493,5,0,True,2.0,1.1748975549395295,,,,,,,,2,0,0
94,0.09592752158641815,5,0,True,2.0,1.1481536214968828,,,,,,,,2,0,0
95,0.0005583143793046474,5,0,True,2.0,1.1220184543019636,0.9119143486022949,0.8537499999999999,0.85375,1.968592882156372,2.372295618057251,0.8431249856948853,0.05020084232091904,2,0,0
96,0.11380742490291595,5,0,True,2.0,1.0964781961431853,,,,,,,,2,0,0
97,0.02225102111697197,5,0,True,2.0,1.0715193052376069,,,,,,,,2,0,0
98,0.014394942671060562,5,0,True,2.0,1.0471285480508996,,,,,,,,2,0,0
99,0.0029847484547644854,5,0,True,2.0,1.0232929922807543,,,,,,,,2,0,0
100,0.003057706868276,5,0,True,2.0,1.0000000000000002,0.17929485440254211,0.95875,0.95875,1.880600929260254,2.837595224380493,0.7931249737739563,0.0662011131644249,2,0,0
101,0.0031237329822033644,5,0,True,2.0,0.977237220955811,,,,,,,,2,0,0
102,0.002200820716097951,5,0,True,2.0,0.9549925860214359,,,,,,,,2,0,0
103,0.003391468431800604,5,0,True,2.0,0.9332543007969911,,,,,,,,2,0,0
104,0.0002859667001757771,5,0,True,2.0,0.91201083935591,,,,,,,,2,0,0
105,0.0014052886981517076,5,0,True,2.0,0.8912509381337458,0.13262058794498444,0.945,0.945,1.7142442464828491,3.2124545574188232,0.8337500095367432,0.053200893104076385,2,0,0
106,0.00017217489948961884,5,0,True,2.0,0.8709635899560809,,,,,,,,2,0,0
107,8.762565266806632e-05,5,0,True,2.0,0.8511380382023764,,,,,,,,2,0,0
108,0.00012312698527239263,5,0,True,2.0,0.8317637711026711,,,,,,,,2,0,0
109,0.0017436500638723373,5,0,True,2.0,0.8128305161640994,,,,,,,,2,0,0
110,0.006307316944003105,5,0,True,2.0,0.7943282347242818,0.05407247692346573,0.98875,0.98875,1.3498046398162842,2.8579723834991455,0.8956249952316284,0.03340056166052818,2,0,0
111,9.27441506064497e-05,5,0,True,2.0,0.7762471166286921,,,,,,,,2,0,0
112,0.007236685138195753,5,0,True,2.0,0.7585775750291839,,,,,,,,2,0,0
113,0.003022389020770788,5,0,True,2.0,0.7413102413009176,,,,,,,,2,0,0
114,0.00015763440751470625,5,0,True,2.0,0.7244359600749903,,,,,,,,2,0,0
115,0.0022966815158724785,5,0,True,2.0,0.7079457843841381,0.04097401723265648,0.98625,0.98625,1.4003853797912598,2.5098989009857178,0.9700000286102295,0.009600161574780941,2,0,0
116,0.00025843383627943695,5,0,True,2.0,0.6918309709189367,,,,,,,,2,0,0
117,3.966563235735521e-05,5,0,True,2.0,0.6760829753919818,,,,,,,,2,0,0
118,3.639680926426081e-06,5,0,True,2.0,0.6606934480075961,,,,,,,,2,0,0
119,1.5613066352671012e-05,5,0,True,2.0,0.6456542290346556,,,,,,,,2,0,0
120,3.725935675902292e-05,5,0,True,2.0,0.6309573444801935,1.993292426050175e-05,1.0,1.0,1.993292426050175e-05,2.295051336288452,1.0,7.222239013367687e-35,2,0,0
121,5.721285197068937e-05,5,0,True,2.0,0.6165950018614822,,,,,,,,2,0,0
122,9.33927276491886e-06,5,0,True,2.0,0.6025595860743578,,,,,,,,2,0,0
123,1.249088882104843e-06,5,0,True,2.0,0.5888436553555891,,,,,,,,2,0,0
124,1.5757548226247309e-06,5,0,True,2.0,0.575439937337157,,,,,,,,2,0,0
125,8.306725476359134e-07,5,0,True,2.0,0.5623413251903493,2.1882797227590345e-06,1.0,1.0,0.17664405703544617,2.497347116470337,0.9818750023841858,0.005800097715109587,2,0,0
126,2.863026793420431e-07,5,0,True,2.0,0.5495408738576245,,,,,,,,2,0,0
127,2.137231831511599e-06,5,0,True,2.0,0.5370317963702529,,,,,,,,2,0,0
128,1.4544430371188355e-07,5,0,True,2.0,0.5248074602497728,,,,,,,,2,0,0
129,1.6804702681838535e-05,5,0,True,2.0,0.512861383991365,,,,,,,,2,0,0
130,1.378354227199452e-06,5,0,True,2.0,0.5011872336272725,2.2025812995707383e-06,1.0,1.0,2.2025812995707383e-06,2.7112009525299072,1.0,7.222239013367687e-35,2,0,0
131,8.980109669209924e-07,5,0,True,2.0,0.48977881936844625,,,,,,,,2,0,0
132,5.350731271391851e-07,5,0,True,2.0,0.4786300923226384,,,,,,,,2,0,0
133,1.664274691393075e-07,5,0,True,2.0,0.4677351412871983,,,,,,,,2,0,0
134,4.892715992355079e-07,5,0,True,2.0,0.4570881896148752,,,,,,,,2,0,0
135,3.5258648267699755e-07,5,0,True,2.0,0.4466835921509633,3.54814255842939e-06,1.0,1.0,0.31727978587150574,2.6455981731414795,0.9756249785423279,0.0078001306392252445,2,0,0
136,1.1044519851566292e-05,5,0,True,2.0,0.43651583224016605,,,,,,,,2,0,0
137,2.767932869573997e-07,5,0,True,2.0,0.4265795188015927,,,,,,,,2,0,0
138,4.6580055368394824e-07,5,0,True,2.0,0.41686938347033553,,,,,,,,2,0,0
139,1.2299355489631125e-07,5,0,True,2.0,0.4073802778041129,,,,,,,,2,0,0
140,1.9525616608007113e-06,5,0,True,2.0,0.39810717055349726,1.3914437886342057e-06,1.0,1.0,0.023506928235292435,2.5274620056152344,0.9950000047683716,0.0016000269679352641,2,0,0
141,0.0005878802039660513,5,0,True,2.0,0.3890451449942806,,,,,,,,2,0,0
142,2.39631276599539e-07,5,0,True,2.0,0.3801893963205613,,,,,,,,2,0,0
143,1.2401163473896304e-07,5,0,True,2.0,0.3715352290971727,,,,,,,,2,0,0
144,1.2853038811044826e-07,5,0,True,2.0,0.3630780547701015,,,,,,,,2,0,0
